City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,22.08,89,100,5.66,US,1706301761
1,adamstown,-25.066,-130.1015,24.48,73,100,3.83,PN,1706301761
2,bethel,41.3712,-73.414,6.2,86,100,2.06,US,1706301761
3,talnakh,69.4865,88.3972,-13.77,93,100,7.27,RU,1706301762
4,port mathurin,-19.6833,63.4167,27.55,84,100,5.52,MU,1706301762
5,kourou,5.1552,-52.6478,29.03,76,34,3.92,GF,1706301762
6,gizo,-8.103,156.8419,28.68,66,100,1.88,SB,1706301762
7,inirida,3.8653,-67.9239,33.01,42,88,1.79,CO,1706301762
8,conceicao da barra,-18.5933,-39.7322,24.54,98,100,2.85,BR,1706301762
9,waitangi,-43.9535,-176.5597,16.01,95,98,1.34,NZ,1706301763
10,margaret river,-33.95,115.0667,11.8,81,0,3.92,AU,1706301613
11,tiksi,71.6872,128.8694,-28.2,97,52,4.65,RU,1706301763
12,sos'va,59.1766,61.8558,-18.3,100,100,1.34,RU,1706301763
13,namibe,-15.1961,12.1522,24.8,81,100,4.17,AO,1706301763
14,vorgashor,67.5833,63.95,-11.31,96,100,3.0,RU,1706301763
15,port elizabeth,-33.918,25.5701,21.29,79,0,4.12,ZA,1706301468
16,tura,25.5198,90.2201,10.81,53,1,1.27,IN,1706301764
17,kodiak,57.79,-152.4072,-4.27,68,0,7.2,US,1706301764
18,yellowknife,62.456,-114.3525,-22.55,96,75,2.06,CA,1706301672
19,puerto natales,-51.7236,-72.4875,22.25,28,75,16.46,CL,1706301764
20,west island,-12.1568,96.8225,25.99,94,3,1.54,CC,1706301764
21,avarua,-21.2078,-159.775,29.03,84,75,3.6,CK,1706301764
22,tolanaro,-25.0319,46.9987,24.04,69,40,4.12,MG,1706301765
23,oranjemund,-28.55,16.4333,18.57,90,13,2.72,NA,1706301765
24,grytviken,-54.2811,-36.5092,4.9,81,96,2.38,GS,1706301765
25,saipan,15.1355,145.701,23.39,88,100,6.69,MP,1706301765
26,sona,45.4388,10.8255,6.85,100,100,1.54,IT,1706301765
27,ribeira grande,38.5167,-28.7,17.65,94,75,7.6,PT,1706301765
28,albany,42.6001,-73.9662,5.91,83,100,1.23,US,1706301621
29,port-aux-francais,-49.35,70.2167,6.3,90,72,13.14,TF,1706301766
30,haiku-pauwela,20.9219,-156.3051,25.65,77,40,5.66,US,1706301766
31,chonchi,-42.6128,-73.8092,18.56,87,100,2.42,CL,1706301766
32,isafjordur,66.0755,-23.124,-3.44,56,92,5.89,IS,1706301766
33,longyearbyen,78.2186,15.6401,-0.09,64,0,5.14,SJ,1706301484
34,bontang,0.1333,117.5,25.15,89,83,4.11,ID,1706301766
35,praia,14.9215,-23.5087,24.3,57,37,6.69,CV,1706301767
36,badger,64.8,-147.5333,-33.99,69,75,0.0,US,1706301767
37,arraial do cabo,-22.9661,-42.0278,25.98,83,40,6.17,BR,1706301767
38,polyarnyy,69.1989,33.4478,-9.48,95,100,5.13,RU,1706301767
39,okhotsk,59.3833,143.3,-26.26,78,10,5.08,RU,1706301474
40,thurso,58.5927,-3.5259,8.25,76,97,11.85,GB,1706301767
41,kayar,14.9192,-17.1211,27.53,51,8,6.22,SN,1706301767
42,ilulissat,69.2167,-51.1,-19.99,41,100,4.12,GL,1706301768
